PuzzleId,GameId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,OpeningTags
8,787zsVup/black#48,r6k/pp2r2p/4Rp1Q/3p4/8/1N1P2R1/PqP2bPP/7K b - - 0 24,f2g3 e6e7 b2b1 b3c1 b1c1 h6c1,1862,76,95,9697,['crushing' 'hangingPiece' 'long' 'middlegame'],
0000D,F8M8OS71#53,5rk1/1p3ppp/pq3b2/8/8/1P1Q1N2/P4PPP/3R2K1 w - - 2 27,d3d6 f8d8 d6d8 f6d8,1579,73,96,36672,['advantage' 'endgame' 'short'],
0008Q,MQSyb3KW#127,8/4R3/1p2P3/p4r2/P6p/1P3Pk1/4K3/8 w - - 1 64,e7f7 f5e5 e2f1 e5e6,1385,80,92,765,['advantage' 'endgame' 'rookEndgame' 'short'],
0009B,4MWQCxQ6/black#32,r2qr1k1/b1p2ppp/pp4n1/P1P1p3/4P1n1/B2P2Pb/3NBP1P/RN1QR1K1 b - - 1 16,b6c5 e2g4 h3g4 d1g4,1084,74,88,606,['advantage' 'middlegame' 'short'],['Kings_Pawn_Game' 'Kings_Pawn_Game_Leonardis_Variation']
000Pw,au2lCK5o#73,6k1/5p1p/4p3/4q3/3nN3/2Q3P1/PP3P1P/6K1 w - - 2 37,e4d2 d4e2 g1f1 e2c3,1550,75,92,626,['crushing' 'endgame' 'fork' 'short'],
000Sa,lTTa9lwd/black#64,2Q2bk1/5p1p/p5p1/2p3P1/2r1B3/7P/qPQ2P2/2K4R b - - 0 32,c4c2 e4c2 a2a1 c2b1,1558,76,97,1610,['advantage' 'endgame' 'short'],
000VW,e9AY2m5j/black#50,r4r2/1p3pkp/p5p1/3R1N1Q/3P4/8/P1q2P2/3R2K1 b - - 3 25,g6f5 d5c5 c2e4 h5g5 g7h8 g5f6,2866,109,85,316,['crushing' 'endgame' 'long'],
000Vc,l6AejDMO#105,8/8/4k1p1/2KpP2p/5PP1/8/8/8 w - - 0 53,g4h5 g6h5 f4f5 e6e5 f5f6 e5f6,1574,78,75,113,['crushing' 'endgame' 'long' 'pawnEndgame'],
000Zo,n8Ff742v#69,4r3/1k6/pp3r2/1b2P2p/3R1p2/P1R2P2/1P4PP/6K1 w - - 0 35,e5f6 e8e1 g1f2 e1f1,1364,75,86,653,['endgame' 'mate' 'mateIn2' 'operaMate' 'short'],
000aY,iihZGl6t#29,r4rk1/pp3ppp/2n1b3/q1pp2B1/8/P1Q2NP1/1PP1PP1P/2KR3R w - - 0 15,g5e7 a5c3 b2c3 c6e7,1414,78,75,527,['advantage' 'master' 'middlegame' 'short'],['Benoni_Defense' 'Benoni_Defense_Benoni-Indian_Defense']
000h0,OWe6M5dF#43,5rk1/p5p1/3bpr1p/1Pp4q/3pR3/1P1Q1N2/P4PPP/4R1K1 w - - 4 22,e4e6 f6f3 g2f3 h5h2 g1f1 h2h3 f1e2 h3e6,2066,77,89,193,['advantage' 'interference' 'kingsideAttack' 'middlegame' 'veryLong'],
000hf,71ygsFeE/black#38,r1bqk2r/pp1nbNp1/2p1p2p/8/2BP4/1PN3P1/P3QP1P/3R1RK1 b kq - 0 19,e8f7 e2e6 f7f8 e6f7,1582,77,92,731,['mate' 'mateIn2' 'middlegame' 'short'],['Horwitz_Defense' 'Horwitz_Defense_Other_variations']
000jr,JgxFj109/black#66,5k2/1p4pp/p5n1/5Q2/3BpP2/1P2PP1K/P1q4P/7r b - - 1 33,f8g8 f5d5 g8f8 d4c5 c2c5 d5c5,2152,77,69,91,['crushing' 'endgame' 'long'],
000lC,vaqz2bx6#37,3r3r/pQNk1ppp/1qnb1n2/1B6/8/8/PPP3PP/3R1R1K w - - 5 19,d1d6 d7d6 b7b6 a7b6,1374,76,94,4621,['advantage' 'hangingPiece' 'middlegame' 'short'],
000mr,8sVpuwso#81,5r1k/5rp1/p7/1b2B2p/1P1P1Pq1/2R1Q3/P3p1P1/2R3K1 w - - 0 41,e3g3 f7f4 e5f4 f8f4,1957,84,62,111,['crushing' 'middlegame' 'short'],
000o3,BAY91mF3/black#86,8/2p1k3/6p1/1p1P1p2/1P3P2/3K2Pp/7P/8 b - - 1 43,e7d6 d3d4 g6g5 f4g5,944,78,87,189,['crushing' 'endgame' 'pawnEndgame' 'short' 'zugzwang'],
000qP,r4xUR6fC#101,8/7R/8/5p2/4bk1P/8/2r2K2/6R1 w - - 7 51,f2f1 f4f3 f1e1 c2c1 e1d2 c1g1,2148,76,93,1524,['crushing' 'endgame' 'exposedKing' 'long' 'skewer'],
000rO,tzeeBEc2#115,3R4/8/K7/pB2b3/1p6/1P2k3/3p4/8 w - - 4 58,a6a5 e5c7 a5b4 c7d8,1110,82,85,73,['crushing' 'endgame' 'fork' 'master' 'short'],
000rZ,seIMDWkD#25,2kr1b1r/p1p2pp1/2pqb3/7p/3N2n1/2NPB3/PPP2PPP/R2Q1RK1 w - - 2 13,d4e6 d6h2,557,100,100,581,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],['Scandinavian_Defense' 'Scandinavian_Defense_Modern_Variation']
143,jcuxlI63/black#34,r2q1rk1/5ppp/1np5/p1b5/2p1B3/P7/1P3PPP/R1BQ1RK1 b - - 1 17,d8f6 d1h5 h7h6 h5c5,1836,77,91,2927,['advantage' 'middlegame' 'short'],['Scotch_Game' 'Scotch_Game_Mieses_Variation']
0017R,ol84k0z4/black#24,r2qk2r/pp2ppbp/1n1p2p1/3Pn3/2P5/2NBBP1P/PP3P2/R2QK2R b KQkq - 0 12,e5c4 d3c4 b6c4 d1a4 d8d7 a4c4,1397,75,96,5384,['advantage' 'fork' 'long' 'middlegame'],['Alekhine_Defense' 'Alekhine_Defense_Other_variations']
